1 0.050118 0.050579 0.049908
2 0.046175 0.107132 0.042320
3 0.036038 0.089396 0.034403
4 0.035928 0.082019 0.035025
5 0.034468 0.083915 0.034604
6 0.039910 0.085743 0.037813
7 0.038336 0.087730 0.035528
8 0.037416 0.081335 0.046540
9 0.033645 0.079475 0.032734
10 0.033872 0.077321 0.032697
11 0.034149 0.079704 0.032718
12 0.033759 0.077249 0.032878
13 0.033830 0.079574 0.032650
14 0.036633 0.085020 0.032952
15 0.033769 0.086491 0.035186
16 0.033757 0.082613 0.033970
17 0.038370 0.079034 0.035469
18 0.032880 0.086008 0.034701
19 0.034926 0.078351 0.033973
20 0.034235 0.081339 0.033652
21 0.035338 0.080356 0.035317
22 0.035216 0.086130 0.033582
23 0.037026 0.084992 0.035533
24 0.034363 0.084332 0.034650
