1 0.000924 0.000894 0.000878
2 0.000558 0.002327 0.000535
3 0.000542 0.001821 0.000671
4 0.000832 0.001733 0.000879
5 0.000630 0.001968 0.000484
6 0.000527 0.001619 0.000499
7 0.000697 0.002466 0.001010
8 0.001061 0.001881 0.000523
9 0.000570 0.001700 0.000683
10 0.000580 0.001645 0.000455
11 0.000539 0.001848 0.000455
12 0.000527 0.001908 0.000467
13 0.000682 0.001806 0.000497
14 0.000621 0.001752 0.000517
15 0.000550 0.001643 0.000500
16 0.000818 0.002267 0.000561
17 0.000583 0.002271 0.000583
18 0.000590 0.001778 0.001133
19 0.000720 0.001831 0.000506
20 0.001398 0.002543 0.000877
21 0.000867 0.002465 0.000873
22 0.000605 0.001689 0.000501
23 0.000843 0.002071 0.000492
24 0.000721 0.001971 0.000574
